Node,DegreeDeviation
0,0.872635
1,0.408138
2,0.389144
3,0.320559
4,0.607329
5,0.361776
6,0.254755
7,0.361776
8,0.798863
9,0.254755
10,0.478867
11,0.822217
12,0.361776
13,0.408138
14,0.346504
15,0.580930
16,0.408138
17,0.320559
18,0.290465
19,0.346504
20,0.369175
21,0.658595
22,0.497696
23,0.793429
24,0.254755
25,0.254755
26,0.886166
27,0.254755
28,0.369175
29,0.254755
30,0.254755
31,0.346504
32,0.320559
33,0.290465
34,0.254755
35,0.290465
36,0.565838
37,0.254755
38,0.592909
39,1.477797
40,0.460442
41,4.639171
42,1.649360
43,1.475966
44,0.844926
45,0.706150
46,1.024312
47,0.474327
48,1.979342
49,1.602459
50,0.754292
51,0.605545
52,3.195454
53,1.130721
54,3.247997
55,1.379758
56,1.849970
57,1.261400
58,1.335135
59,2.759516
60,1.813655
61,1.461975
62,1.763766
63,1.837356
64,0.923815
65,1.548565
66,1.766524
67,2.066760
68,1.700062
69,1.261400
70,1.712108
71,1.346831
72,1.137397
73,1.552750
74,0.610880
75,1.430563
76,1.423362
77,2.022320
78,1.607850
79,0.605545
80,0.660236
81,1.086821
82,1.383281
83,1.098699
84,2.781574
85,1.315547
86,0.922643
87,2.672699
88,2.240538
89,3.948561
90,1.655579
91,1.017425
92,5.658479
93,1.575227
94,1.326193
95,1.858138
96,1.171133
97,1.266535
98,2.470814
99,1.661774
100,2.945145
101,2.358373
102,6.665621
103,2.741425
104,2.799405
105,0.521055
106,0.689879
107,1.486918
108,1.902434
109,2.111290
110,1.617575
111,1.229263
112,2.526656
113,2.081363
114,0.369175
115,1.086323
116,2.944226
117,1.633214
118,1.000811
119,7.343978
120,1.616906
121,2.117429
122,1.689531
123,1.782676
124,2.829574
125,2.590075
126,8.910103
127,10.099130
128,4.565845
129,9.501074
130,1.046253
131,0.881883
132,1.650344
133,0.913216
134,1.872057
135,3.751473
136,1.675387
137,5.913382
138,1.335945
139,1.545068
140,2.230134
141,1.591962
142,1.998106
143,2.989435
144,1.050380
145,1.163256
146,3.074697
147,1.208408
148,1.558660
149,1.962879
150,2.249692
151,0.977851
152,1.839122
153,1.872057
154,1.046770
155,1.185362
156,1.333108
157,0.895877
158,1.172056
159,2.274319
160,1.669891
161,1.050380
162,2.038303
163,0.584642
164,1.219102
165,1.280549
166,1.190825
167,1.219102
168,2.159412
169,0.983916
170,1.259255
171,1.405775
172,2.141051
173,2.562786
174,0.872016
175,1.879553
176,1.508584
177,1.331890
178,0.886166
179,0.953205
180,1.528882
181,1.283080
182,2.591537
183,2.219195
184,1.189007
185,1.272499
186,3.524618
187,1.061138
188,4.337443
189,0.722803
190,0.747811
191,1.274622
192,1.211536
193,0.210590
194,18.872691
195,22.164560
196,24.422015
197,2.305964
198,1.834705
199,1.533121
200,0.320559
201,0.346504
202,0.551315
203,0.333784
204,0.333784
205,1.507149
206,2.712868
207,1.507149
208,0.866416
209,0.630057
210,0.320559
211,0.592909
212,0.386355
213,0.408138
214,0.210590
215,0.290465
216,0.386355
