Node,AvgShortestPath
0,2.129630
1,2.685185
2,2.263889
3,2.597222
4,2.486111
5,2.560185
6,2.625000
7,2.574074
8,2.259259
9,2.601852
10,2.361111
11,2.273148
12,2.504630
13,2.611111
14,2.486111
15,2.527778
16,2.509259
17,2.365741
18,2.731481
19,2.643519
20,2.675926
21,2.430556
22,2.444444
23,2.236111
24,2.666667
25,2.689815
26,2.259259
27,2.486111
28,2.597222
29,2.671296
30,2.277778
31,2.564815
32,2.527778
33,2.685185
34,2.453704
35,2.532407
36,2.759259
37,2.560185
38,2.569444
39,2.078704
40,2.467593
41,1.865741
42,2.050926
43,2.083333
44,2.166667
45,2.194444
46,2.115741
47,2.611111
48,2.083333
49,2.111111
50,2.226852
51,2.175926
52,1.833333
53,2.013889
54,1.773148
55,2.078704
56,1.907407
57,2.009259
58,1.935185
59,1.833333
60,1.953704
61,2.055556
62,1.935185
63,1.949074
64,2.212963
65,1.986111
66,2.004630
67,1.944444
68,1.976852
69,1.990741
70,1.949074
71,2.046296
72,2.023148
73,2.027778
74,2.162037
75,2.009259
76,2.060185
77,1.875000
78,1.976852
79,2.111111
80,2.203704
81,2.083333
82,1.976852
83,2.004630
84,1.856481
85,1.962963
86,2.083333
87,1.884259
88,1.902778
89,1.833333
90,1.995370
91,2.055556
92,1.745370
93,1.990741
94,2.087963
95,1.930556
96,2.055556
97,1.995370
98,1.888889
99,1.921296
100,1.865741
101,1.898148
102,1.717593
103,1.888889
104,1.870370
105,2.439815
106,2.245370
107,1.958333
108,1.930556
109,1.944444
110,2.097222
111,2.023148
112,1.791667
113,1.912037
114,2.370370
115,2.134259
116,1.870370
117,1.930556
118,2.194444
119,1.731481
120,2.046296
121,1.851852
122,1.958333
123,1.930556
124,1.907407
125,1.939815
126,1.666667
127,1.615741
128,1.750000
129,1.666667
130,2.060185
131,2.083333
132,1.981481
133,2.097222
134,2.004630
135,1.856481
136,1.916667
137,1.805556
138,2.055556
139,1.990741
140,1.902778
141,2.055556
142,1.953704
143,1.824074
144,2.143519
145,2.000000
146,1.782407
147,2.069444
148,2.032407
149,1.893519
150,1.925926
151,2.143519
152,1.976852
153,1.939815
154,2.064815
155,2.055556
156,2.000000
157,2.064815
158,1.916667
159,1.893519
160,1.944444
161,2.138889
162,1.898148
163,2.157407
164,2.027778
165,2.143519
166,2.106481
167,2.083333
168,1.916667
169,2.074074
170,2.046296
171,2.064815
172,1.986111
173,1.898148
174,2.148148
175,1.916667
176,2.069444
177,1.972222
178,2.111111
179,2.000000
180,2.027778
181,2.078704
182,1.856481
183,1.976852
184,2.009259
185,2.037037
186,1.773148
187,2.060185
188,1.750000
189,2.254630
190,2.180556
191,2.046296
192,2.106481
193,2.726852
194,1.444444
195,1.388889
196,1.356481
197,2.050926
198,2.120370
199,2.282407
200,2.291667
201,2.342593
202,2.615741
203,2.305556
204,2.277778
205,2.347222
206,2.115741
207,2.472222
208,2.217593
209,2.287037
210,2.310185
211,2.532407
212,2.671296
213,2.268519
214,2.800926
215,2.800926
216,2.273148
