Node,ConnectiveRedundancyWeighted
0,0.545455
1,0.500000
2,0.500000
3,0.200000
4,0.428571
5,0.000000
6,0.000000
7,0.250000
8,0.285714
9,0.000000
10,0.285714
11,0.307692
12,0.250000
13,0.500000
14,0.333333
15,0.375000
16,0.333333
17,0.200000
18,0.250000
19,0.333333
20,0.428571
21,0.416667
22,0.500000
23,0.461538
24,0.333333
25,0.000000
26,0.400000
27,0.000000
28,0.571429
29,0.000000
30,0.000000
31,0.333333
32,0.200000
33,0.250000
34,0.000000
35,0.250000
36,0.800000
37,0.000000
38,0.444444
39,0.577778
40,0.222222
41,0.702532
42,0.522727
43,0.622642
44,0.347826
45,0.214286
46,0.558824
47,0.500000
48,0.655738
49,0.552632
50,0.388889
51,0.266667
52,0.535354
53,0.500000
54,0.586466
55,0.640000
56,0.550000
57,0.473684
58,0.509091
59,0.626087
60,0.611111
61,0.585366
62,0.521127
63,0.387755
64,0.300000
65,0.519231
66,0.574074
67,0.618421
68,0.566667
69,0.368421
70,0.557143
71,0.465116
72,0.461538
73,0.566038
74,0.312500
75,0.418605
76,0.500000
77,0.569892
78,0.489796
79,0.266667
80,0.681818
81,0.625000
82,0.550000
83,0.463415
84,0.584906
85,0.416667
86,0.375000
87,0.537500
88,0.544304
89,0.612903
90,0.560000
91,0.400000
92,0.716981
93,0.621212
94,0.595745
95,0.508197
96,0.522727
97,0.454545
98,0.617021
99,0.476923
100,0.687500
101,0.715447
102,0.732000
103,0.576087
104,0.576471
105,0.300000
106,0.388889
107,0.464286
108,0.633333
109,0.687500
110,0.647059
111,0.522727
112,0.553719
113,0.478261
114,0.000000
115,0.318182
116,0.592593
117,0.492063
118,0.533333
119,0.187500
120,0.541667
121,0.516854
122,0.492308
123,0.554054
124,0.383333
125,0.500000
126,0.509554
127,0.481481
128,0.634731
129,0.436090
130,0.433333
131,0.448276
132,0.662338
133,0.611111
134,0.651515
135,0.666667
136,0.492063
137,0.560000
138,0.707692
139,0.527273
140,0.612903
141,0.568182
142,0.618421
143,0.533981
144,0.551724
145,0.537037
146,0.561983
147,0.525000
148,0.573770
149,0.513158
150,0.611111
151,0.500000
152,0.508772
153,0.555556
154,0.470588
155,0.552632
156,0.479167
157,0.485714
158,0.410714
159,0.549451
160,0.666667
161,0.482759
162,0.591837
163,0.450000
164,0.555556
165,0.685714
166,0.613636
167,0.609756
168,0.551282
169,0.564103
170,0.500000
171,0.571429
172,0.500000
173,0.543210
174,0.478261
175,0.636364
176,0.388889
177,0.623188
178,0.500000
179,0.333333
180,0.529412
181,0.608696
182,0.528090
183,0.563380
184,0.450000
185,0.410256
186,0.628571
187,0.526316
188,0.635838
189,0.500000
190,0.500000
191,0.555556
192,0.588235
193,0.000000
194,0.259259
195,0.549488
196,0.570988
197,0.290323
198,0.238095
199,0.076923
200,0.200000
201,0.666667
202,0.615385
203,0.000000
204,0.000000
205,0.000000
206,0.000000
207,0.000000
208,0.470588
209,0.769231
210,0.400000
211,0.444444
212,0.200000
213,0.500000
214,0.500000
215,0.750000
216,0.200000
